ticket_id,account_id,rep_id,opened_date,closed_date,priority,category,subject,description,resolution_notes,csat_score,resolution_hours,escalated,product_line
TKT-0000001,ACC-00380,REP-009,2024-11-23,2024-11-27,P2,Feature Request,Issue with Feature Request - ref 1,Data pipeline failing silently. No error logs visible in monitoring console.,Model retrained with updated feature set. Accuracy improved to 94%.,1,26,N,Platform License
TKT-0000002,ACC-00120,REP-017,2024-01-16,2024-01-19,P1,Access,Issue with Feature Request - ref 2,Machine learning model predictions diverging significantly from actuals.,RLS policy configured correctly. Documentation updated for future reference.,2,224,N,Data Integration Suite
TKT-0000003,ACC-00389,REP-006,2025-02-18,2025-03-18,P4,Performance,Issue with Performance - ref 3,Invoice amount does not match contracted rate. Please review attachment.,Updated OAuth token rotation policy. Connection stable for 72+ hours.,3,7,Y,Platform License
TKT-0000004,ACC-00434,REP-012,2024-07-13,2024-07-17,P3,Training,Issue with Bug - ref 4,Automated reports not sending to correct distribution list after migration.,Model retrained with updated feature set. Accuracy improved to 94%.,1,368,N,Platform License
TKT-0000005,ACC-00425,REP-012,2024-10-09,,P2,Integration,Issue with Bug - ref 5,Dashboard loading extremely slow after latest update. Users unable to access reports.,,,,N,Data Integration Suite
TKT-0000006,ACC-00444,REP-004,2024-02-10,2024-03-09,P4,Performance,Issue with Billing - ref 6,API rate limits causing production failures during peak business hours.,Billing team confirmed rate discrepancy. Credit issued to account.,3,239,N,Analytics Module
TKT-0000007,ACC-00480,REP-003,2024-12-09,2024-12-18,P2,Access,Issue with Integration - ref 7,Cannot connect Snowflake integration. Authentication keeps timing out.,Billing team confirmed rate discrepancy. Credit issued to account.,4,719,N,Data Integration Suite
TKT-0000008,ACC-00286,REP-008,2025-04-18,2025-05-09,P3,Training,Issue with Training - ref 8,Dashboard loading extremely slow after latest update. Users unable to access reports.,Updated OAuth token rotation policy. Connection stable for 72+ hours.,1,705,N,Security Package
TKT-0000009,ACC-00468,REP-011,2024-05-17,2024-05-20,P2,Integration,Issue with Billing - ref 9,Need help configuring row-level security for multi-tenant environment.,Distribution list updated and tested. All reports sending correctly.,2,217,N,Analytics Module
TKT-0000010,ACC-00288,REP-018,2024-05-06,,P3,Integration,Issue with Access - ref 10,Need help configuring row-level security for multi-tenant environment.,,,,N,Data Integration Suite
TKT-0000011,ACC-00253,REP-003,2024-04-22,2024-04-27,P1,Training,Issue with Bug - ref 11,Invoice amount does not match contracted rate. Please review attachment.,Billing team confirmed rate discrepancy. Credit issued to account.,4,522,Y,Security Package
TKT-0000012,ACC-00271,REP-009,2024-07-14,2024-08-03,P1,Integration,Issue with Integration - ref 12,Data pipeline failing silently. No error logs visible in monitoring console.,Model retrained with updated feature set. Accuracy improved to 94%.,3,480,N,Platform License
TKT-0000013,ACC-00233,REP-001,2024-05-30,2024-06-13,P3,Access,Issue with Training - ref 13,Invoice amount does not match contracted rate. Please review attachment.,Model retrained with updated feature set. Accuracy improved to 94%.,1,162,N,Analytics Module
TKT-0000014,ACC-00277,REP-017,2024-03-19,2024-03-31,P1,Access,Issue with Performance - ref 14,Automated reports not sending to correct distribution list after migration.,"Root cause identified as index degradation. Rebuilt indexes, performance restored.",1,166,N,Data Integration Suite
TKT-0000015,ACC-00124,REP-003,2024-05-02,,P1,Integration,Issue with Billing - ref 15,Data pipeline failing silently. No error logs visible in monitoring console.,,,,N,Analytics Module
TKT-0000016,ACC-00085,REP-009,2024-12-03,2024-12-19,P4,Feature Request,Issue with Access - ref 16,Cannot connect Snowflake integration. Authentication keeps timing out.,Feature added to Q3 roadmap. Workaround provided via CSV bulk import.,4,563,N,Security Package
