claim_id,employee_id,claim_date,expense_category,vendor_name,currency,amount_local,amount_usd,fx_rate,project_code,cost_center,approval_status,approver_id,receipt_attached,notes,reimbursable
EXP-0000001,EMP-001393,2025-04-10,Marketing Materials,Vendor-183,JPY,12491.87,83.7,0.0067,PROJ-017,CC-0019,REJECTED,MGR-003,N,Team lunch,Y
EXP-0000002,EMP-001069,2025-01-21,Travel-Ground,Vendor-191,AUD,14597.1,9488.11,0.65,PROJ-014,CC-0013,APPROVED,MGR-001,Y,Client visit,Y
EXP-0000003,EMP-001337,2025-02-18,Office Supplies,Vendor-43,SGD,7166.47,5303.19,0.74,PROJ-004,CC-0012,CANCELLED,MGR-001,Y,Conference attendance,Y
EXP-0000004,EMP-001595,2024-12-09,Travel-Air,Vendor-62,GBP,5446.9,6917.56,1.27,PROJ-019,CC-0006,APPROVED,MGR-001,N,,Y
EXP-0000005,EMP-000414,2024-02-03,Meals,Vendor-69,AUD,2824.28,1835.78,0.65,PROJ-006,CC-0019,APPROVED,MGR-003,Y,Conference attendance,Y
EXP-0000006,EMP-000633,2024-01-09,Software License,Vendor-193,INR,1407.23,16.89,0.012,PROJ-019,CC-0013,PENDING,MGR-002,Y,,N
EXP-0000007,EMP-000200,2024-12-05,Office Supplies,Vendor-190,EUR,10542.83,11491.68,1.09,PROJ-033,CC-0004,PENDING,MGR-001,Y,Team lunch,Y
EXP-0000008,EMP-001398,2025-04-19,Travel-Hotel,Vendor-161,AUD,2426.73,1577.37,0.65,PROJ-006,CC-0008,PENDING,MGR-003,N,,Y
EXP-0000009,EMP-000269,2024-12-13,Client Entertainment,Vendor-93,INR,6717.73,80.61,0.012,PROJ-040,CC-0014,APPROVED,MGR-003,Y,Client visit,Y
EXP-0000010,EMP-001162,2025-05-24,Travel-Hotel,Vendor-4,GBP,14370.65,18250.73,1.27,PROJ-010,CC-0010,APPROVED,MGR-002,Y,Team lunch,N
