assignment_id,rep_id,fiscal_year,fiscal_quarter,quota_usd,quota_type,effective_date,end_date,version,change_reason,approved_by
QA-000001,REP-001,2023,Q1-2023,304270.78,ARR,2023-01-01,2023-02-03,1,Initial,MGR-002
QA-000002,REP-001,2023,Q1-2023,808660.85,REVENUE,2023-01-01,2023-03-28,2,Performance correction,MGR-002
QA-000003,REP-001,2023,Q2-2023,324456.4,BOOKINGS,2023-04-01,2023-04-28,1,Initial,MGR-002
QA-000004,REP-001,2023,Q2-2023,734801.22,BOOKINGS,2023-04-01,2023-06-28,2,Territory realignment,MGR-002
QA-000005,REP-001,2023,Q3-2023,151368.84,REVENUE,2023-07-01,2023-09-28,1,Initial,MGR-002
QA-000006,REP-001,2023,Q4-2023,361452.7,REVENUE,2023-10-01,2023-11-24,1,Initial,MGR-002
QA-000007,REP-001,2023,Q4-2023,285115.36,ARR,2023-10-01,2023-11-15,2,Performance correction,MGR-001
QA-000008,REP-001,2023,Q4-2023,111035.36,ARR,2023-10-01,2023-12-28,3,New hire ramp,MGR-003
QA-000009,REP-001,2024,Q1-2024,539055.09,REVENUE,2024-01-01,2024-02-04,1,Initial,MGR-001
QA-000010,REP-001,2024,Q1-2024,338570.55,ARR,2024-01-01,2024-03-28,2,Territory realignment,MGR-002
QA-000011,REP-001,2024,Q2-2024,423680.71,BOOKINGS,2024-04-01,2024-04-27,1,Initial,MGR-001
QA-000012,REP-001,2024,Q2-2024,523612.04,REVENUE,2024-04-01,2024-05-24,2,Performance correction,MGR-002
QA-000013,REP-001,2024,Q2-2024,817651.37,ARR,2024-04-01,2024-06-28,3,Performance correction,MGR-003
QA-000014,REP-001,2024,Q3-2024,700844.42,ARR,2024-07-01,2024-09-28,1,Initial,MGR-001
QA-000015,REP-001,2024,Q4-2024,858403.14,ARR,2024-10-01,2024-11-08,1,Initial,MGR-001
QA-000016,REP-001,2024,Q4-2024,544597.27,REVENUE,2024-10-01,2024-12-28,2,Promotion,MGR-001
QA-000017,REP-002,2023,Q1-2023,309842.26,BOOKINGS,2023-01-01,2023-02-03,1,Initial,MGR-001
QA-000018,REP-002,2023,Q1-2023,842004.19,ARR,2023-01-01,2023-03-28,2,Promotion,MGR-001
QA-000019,REP-002,2023,Q2-2023,162553.97,ARR,2023-04-01,2023-05-03,1,Initial,MGR-001
QA-000020,REP-002,2023,Q2-2023,651637.94,ARR,2023-04-01,2023-06-28,2,Annual planning,MGR-001
QA-000021,REP-002,2023,Q3-2023,710491.27,ARR,2023-07-01,2023-07-29,1,Initial,MGR-003
QA-000022,REP-002,2023,Q3-2023,261138.1,ARR,2023-07-01,2023-09-28,2,Annual planning,MGR-002
QA-000023,REP-002,2023,Q4-2023,619947.04,REVENUE,2023-10-01,2023-10-21,1,Initial,MGR-003
QA-000024,REP-002,2023,Q4-2023,519725.79,ARR,2023-10-01,2023-12-28,2,Mid-year adjustment,MGR-002
QA-000025,REP-002,2024,Q1-2024,623625.65,BOOKINGS,2024-01-01,2024-01-28,1,Initial,MGR-002
QA-000026,REP-002,2024,Q1-2024,429935.31,ARR,2024-01-01,2024-02-21,2,Mid-year adjustment,MGR-003
QA-000027,REP-002,2024,Q1-2024,481821.8,ARR,2024-01-01,2024-03-28,3,Performance correction,MGR-002
QA-000028,REP-002,2024,Q2-2024,262771.89,REVENUE,2024-04-01,2024-04-27,1,Initial,MGR-003
QA-000029,REP-002,2024,Q2-2024,619180.31,ARR,2024-04-01,2024-05-21,2,Mid-year adjustment,MGR-003
QA-000030,REP-002,2024,Q2-2024,489905.8,ARR,2024-04-01,2024-06-28,3,New hire ramp,MGR-001
QA-000031,REP-002,2024,Q3-2024,391022.96,REVENUE,2024-07-01,2024-07-25,1,Initial,MGR-003
QA-000032,REP-002,2024,Q3-2024,248322.51,ARR,2024-07-01,2024-08-27,2,New hire ramp,MGR-003
QA-000033,REP-002,2024,Q3-2024,299256.28,REVENUE,2024-07-01,2024-09-28,3,Annual planning,MGR-001
QA-000034,REP-002,2024,Q4-2024,150767.73,REVENUE,2024-10-01,2024-11-21,1,Initial,MGR-003
QA-000035,REP-002,2024,Q4-2024,290817.49,ARR,2024-10-01,2024-12-28,2,Territory realignment,MGR-001
QA-000036,REP-003,2023,Q1-2023,707380.93,BOOKINGS,2023-01-01,2023-02-20,1,Initial,MGR-002
QA-000037,REP-003,2023,Q1-2023,223632.4,BOOKINGS,2023-01-01,2023-01-21,2,Territory realignment,MGR-003
QA-000038,REP-003,2023,Q1-2023,895278.6,BOOKINGS,2023-01-01,2023-03-28,3,Mid-year adjustment,MGR-002
QA-000039,REP-003,2023,Q2-2023,524603.21,REVENUE,2023-04-01,2023-05-07,1,Initial,MGR-001
QA-000040,REP-003,2023,Q2-2023,655867.53,REVENUE,2023-04-01,2023-05-12,2,New hire ramp,MGR-001
QA-000041,REP-003,2023,Q2-2023,433959.06,ARR,2023-04-01,2023-06-28,3,Annual planning,MGR-001
QA-000042,REP-003,2023,Q3-2023,635359.99,BOOKINGS,2023-07-01,2023-08-22,1,Initial,MGR-003
