product_id,product_name,sku,category,sub_category,list_price_usd,cost_usd,margin_pct,billing_type,contract_term_months,is_active,launch_date,eol_date,features_json,supported_regions
PROD-0001,Platform License Core,SKU-0001-MON,Platform License,Core,1418.75,739.58,47.87,Monthly,12,False,2022-03-21,,"{""modules"":[""mod_1a"",""mod_1b""],""sla"":""99.99%"",""users"":248}","NORTH_AMERICA,LATAM"
PROD-0002,Platform License Enterprise,SKU-0002-ANN,Platform License,Enterprise,29827.3,15176.6,49.12,Annual,24,True,2022-01-22,,"{""modules"":[""mod_2a"",""mod_2b""],""sla"":""99.5%"",""users"":302}",ALL
PROD-0003,Analytics Module Standard,SKU-0003-MON,Analytics Module,Standard,16754.9,9271.82,44.66,Monthly,12,True,2020-02-05,,"{""modules"":[""mod_3a"",""mod_3b""],""sla"":""99.5%"",""users"":301}","NORTH_AMERICA,LATAM"
PROD-0004,Analytics Module Advanced,SKU-0004-ANN,Analytics Module,Advanced,48924.35,18981.24,61.2,Annual,24,False,2020-01-26,,"{""modules"":[""mod_4a"",""mod_4b""],""sla"":""99.9%"",""users"":183}","APAC,MEA"
PROD-0005,Data Integration Suite Starter,SKU-0005-MON,Data Integration Suite,Starter,29759.33,17751.45,40.35,Monthly,6,False,2020-09-10,2027-06-07,"{""modules"":[""mod_5a"",""mod_5b""],""sla"":""99.5%"",""users"":460}","APAC,MEA"
PROD-0006,Data Integration Suite Pro,SKU-0006-ANN,Data Integration Suite,Pro,40024.83,17660.85,55.88,Annual,12,True,2020-09-08,,"{""modules"":[""mod_6a"",""mod_6b""],""sla"":""99.99%"",""users"":334}","APAC,MEA"
PROD-0007,Security Package Basic,SKU-0007-MON,Security Package,Basic,38699.5,22357.69,42.23,Monthly,12,False,2021-02-27,,"{""modules"":[""mod_7a"",""mod_7b""],""sla"":""99.9%"",""users"":386}","APAC,MEA"
PROD-0008,Security Package Premium,SKU-0008-ANN,Security Package,Premium,21518.23,8485.48,60.57,Annual,24,False,2021-07-30,,"{""modules"":[""mod_8a"",""mod_8b""],""sla"":""99.9%"",""users"":324}","NORTH_AMERICA,EMEA"
PROD-0009,Professional Services Implementation,SKU-0009-ONE,Professional Services,Implementation,9412.79,3978.61,57.73,One-Time,0,True,2020-08-11,,"{""modules"":[""mod_9a"",""mod_9b""],""sla"":""99.5%"",""users"":371}","NORTH_AMERICA,LATAM"
PROD-0010,Professional Services Custom Dev,SKU-0010-ONE,Professional Services,Custom Dev,48182.84,28154.73,41.57,One-Time,0,True,2020-07-14,2027-11-24,"{""modules"":[""mod_10a"",""mod_10b""],""sla"":""99.9%"",""users"":392}",ALL
PROD-0011,Support & Maintenance Standard,SKU-0011-ANN,Support & Maintenance,Standard,28763.27,17156.94,40.35,Annual,12,True,2022-02-22,,"{""modules"":[""mod_11a"",""mod_11b""],""sla"":""99.9%"",""users"":214}","NORTH_AMERICA,LATAM"
PROD-0012,Support & Maintenance Premium,SKU-0012-ANN,Support & Maintenance,Premium,34320.24,20341.33,40.73,Annual,12,True,2020-11-11,,"{""modules"":[""mod_12a"",""mod_12b""],""sla"":""99.9%"",""users"":37}","NORTH_AMERICA,EMEA"
PROD-0013,Cloud Migration Starter,SKU-0013-ONE,Cloud Migration,Starter,1542.33,670.14,56.55,One-Time,0,False,2020-06-02,,"{""modules"":[""mod_13a"",""mod_13b""],""sla"":""99.99%"",""users"":338}","NORTH_AMERICA,EMEA"
PROD-0014,Cloud Migration Enterprise,SKU-0014-ONE,Cloud Migration,Enterprise,19540.19,9937.18,49.14,One-Time,0,True,2020-02-04,,"{""modules"":[""mod_14a"",""mod_14b""],""sla"":""99.5%"",""users"":333}","NORTH_AMERICA,LATAM"
PROD-0015,Training & Enablement Online,SKU-0015-MON,Training & Enablement,Online,40612.31,19826.13,51.18,Monthly,1,True,2022-03-22,2026-01-08,"{""modules"":[""mod_15a"",""mod_15b""],""sla"":""99.99%"",""users"":57}","NORTH_AMERICA,LATAM"
PROD-0016,Training & Enablement On-Site,SKU-0016-ONE,Training & Enablement,On-Site,34195.05,12167.48,64.42,One-Time,0,True,2021-03-28,,"{""modules"":[""mod_16a"",""mod_16b""],""sla"":""99.5%"",""users"":224}","NORTH_AMERICA,EMEA"
PROD-0017,Cortex AI Add-on Standard,SKU-0017-MON,Cortex AI Add-on,Standard,36579.87,13333.59,63.55,Monthly,12,True,2020-03-09,,"{""modules"":[""mod_17a"",""mod_17b""],""sla"":""99.5%"",""users"":278}",ALL
PROD-0018,Cortex AI Add-on Enterprise,SKU-0018-ANN,Cortex AI Add-on,Enterprise,48514.42,22203.08,54.23,Annual,24,True,2020-03-17,,"{""modules"":[""mod_18a"",""mod_18b""],""sla"":""99.9%"",""users"":103}","APAC,MEA"
PROD-0019,Snowpark Connector Basic,SKU-0019-ANN,Snowpark Connector,Basic,17550.68,8813.77,49.78,Annual,12,True,2022-02-06,,"{""modules"":[""mod_19a"",""mod_19b""],""sla"":""99.99%"",""users"":66}","NORTH_AMERICA,LATAM"
PROD-0020,Semantic Layer Enterprise,SKU-0020-ANN,Semantic Layer,Enterprise,20995.69,6710.51,68.04,Annual,24,True,2021-01-25,2026-06-24,"{""modules"":[""mod_20a"",""mod_20b""],""sla"":""99.99%"",""users"":151}","NORTH_AMERICA,LATAM"
